Title ISBN|ISBN|Title|[N] Title|[G] Title|Author|[N] Author|[G] Author|[N] Subjects|[G] Subjects|[N] Abstract|[N] Notes|[N] Physical Description|[G] Page Count|Item DDC Code|Item Media|Title Publication Date|[G] Published Date|[N] Cover URL|[G] Cover URL
9781101545096|9781101545096.0|The Book Of Kink: Sex Beyond The Missonary|The book of kink : Sex Beyond the Missonary. Eva Christina.||Christina, Eva|Christina, Eva.||Nonfiction., Reference., Electronic books., Electronic book||How to get your Fifty Shades on...For anyone who's felt...inspired...after reading Fifty Shades of Grey, The Book of Kink both entertains and enlightens, showing you the who, what, where, why, and how of kink.People everywhere are into kinky sex. For some, it's a way to spice up a withered sex life; for others, it's a way of life. No matter how or why we do it, kinky sex is as old as Adam and Eve and as commonplace as your next-door neighbor. For example, did you know: Japan organized the largest orgy ever caught on tape, featuring 500 participants? A Berlin hotel offers different rooms dedicated to kinky sex, including one with a coffin? Those who are into having sex with an armpit have a fetish called axillism? There is a university dedicated entirely to love and sex called the Loveology University?  The Book of Kink is an entertaining and enlightening look into all things beyond the pale when it comes to sex. Exploring everything from equipment, sex classes, sex parties, and porn to the who, what, where, when, why, and how of kink, it delves into fetishes, turn-ons, role-playing, and how the Internet has put a new spin on kinkiness. It is an X-rated romp through cultural and social history and contemporary mores. Whether you're appalled to learn that people actually do this or are relieved to find out that you're not the only one, you'll never see sex the same way again.||1 online resource||306.77|ebook - ebook|10/04/2011||https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781101545096?s=MD|
9781668019160|9781668019160.0|The Canceling Of The American Mind: Cancel Culture Undermines Trust, Destroys Institutions, And Threatens Us All—But There Is A Solution|The canceling of the American mind : cancel culture undermines trust and threatens us all--but there is a solution / by Greg Lukianoff and Rikki Schlott.|The Canceling of the American Mind|Lukianoff, Greg|Lukianoff, Greg|Greg Lukianoff, Rikki Schlott|Nonfiction., Civilization, Cancel culture, Cancel culture United States Case studies., Politics., Sociology., United States Civilization., United States, Electronic books., Schlott, Rikki, author.|Social Science|A timely deep dive into cancel culture, an account of its dangers to all Americans, and the much-needed antidote from the team that brought you  Coddling of the American Mind .  Cancel culture is a new phenomenon, and  The Canceling of the American Mind  is the first book to codify it and survey its effects. From the team that brought you the bestselling  Coddling of the American Mind  comes hard data and research on what cancel culture is and how it works, along with hundreds of new examples showing the left and the right both working to silence their enemies.    The Canceling of the American Mind  will change how you view cancel culture. Rather than a moral panic, we should consider it a dysfunctional part of how Americans battle for power, status, and dominance. Cancel culture is just one symptom of a much larger problem: the use of cheap rhetorical tactics to win arguments without  actually  winning arguments. After all, why bother refuting your opponents when you can just take away their platform or career?   The good news is that we can beat back this threat to democracy through better citizenship.  The Canceling of the American Mind  offers concrete steps toward reclaiming a free speech culture, with materials specifically tailored for parents, teachers, business leaders, and everyone who uses social media. We can all show intellectual humility and promote the essential American principles of individuality, resilience, and open mindedness.||1 online resource||306.0973|ebook - ebook|10/17/2023|2023-10-17|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781668019160?s=MD|http://books.google.com/books/content?id=5xOsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9781441213853|9781441213853.0|The God Who Is There: Finding Your Place In God'S Story<P>|The God who is there : finding your place in God's story / D.A. Carson.||Carson, D. A.|Carson, D. A.||Bible Criticism, interpretation, etc., Nonfiction., God (Christianity)., Religion & Spirituality., Electronic books., Criticism, interpretation, etc.||Eminent evangelical theologian provides a basic introduction to the faith that traces the story of redemption through the Bible.||1 online resource||220.61|ebook - ebook|07/01/2010||https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781441213853?s=MD|
9781101157305|9781101157305.0|The House Of Rothschild, Volume 1: Money'S Prophets: 1798-1848|The house of rothschild, volume 1 Money's Prophets: 1798-1848. Niall Ferguson.|The House of Rothschild|Ferguson, Niall|Ferguson, Niall.|Niall Ferguson|Electronic books., Nonfiction., Biography & Autobiography., Business., Electronic book|Biography & Autobiography|In his rich and nuanced portrait of the remarkable, elusive Rothschild family, Oxford scholar and bestselling author Niall Ferguson uncovers the secrets behind the family's phenomenal economic success. He reveals for the first time the details of the family's vast political network, which gave it access to and influence over many of the greatest statesmen of the age. And he tells a family saga, tracing the importance of family unity and the profound role of Judaism in the lives of a dynasty that rose from the confines of the Frankfurt ghetto and later used its influence to assist oppressed Jews throughout Europe. A definitive work of impeccable scholarship with a thoroughly engaging narrative, The House of Rothschild is a biography of the rarest kind, in which mysterious and fascinating historical figures finally spring to life.||||Missing Value|ebook - ebook|11/01/1999|1999-11-01|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781101157305?s=MD|http://books.google.com/books/content?id=DJ_DJhdN1XQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9780300256062|9780300256062.0|The Invention Of China|The invention of china. Bill Hayton.|The Invention of China|Hayton, Bill|Hayton, Bill|Bill Hayton|Nonfiction., History., China History., South China Sea Boundaries., China Boundaries., China Claims., China Politics and government., Electronic books.|History|A provocative account showing that China-and its 5,000 years of unified history-is a national myth, created only a century ago with a political agenda that persists to this day   China's current leadership lays claim to a 5,000-year-old civilization, but China as a unified country and people, Bill Hayton argues, was created far more recently by a small group of intellectuals.    In this compelling account, Hayton shows how China's present-day geopolitical problems-the fates of Hong Kong, Taiwan, Tibet, Xinjiang, and the South China Sea-were born in the struggle to create a modern nation-state. In the late nineteenth and early twentieth centuries, reformers and revolutionaries adopted foreign ideas to invent' a new vision of China. By asserting a particular, politicized version of the past the government bolstered its claim to a vast territory stretching from the Pacific to Central Asia. Ranging across history, nationhood, language, and territory, Hayton shows how the Republic's reworking of its past not only helped it to justify its right to rule a century ago-but continues to motivate and direct policy today.||1 online resource||951|ebook - ebook|10/01/2020|2020-10-13|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9780300256062?s=MD|http://books.google.com/books/content?id=4u8CEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9781407036267|9781407036267.0|The Lemon Tree|The lemon tree Sandy Tolan.|The Lemon Tree|Tolan, Sandy|Tolan, Sandy.|Sandy Tolan|Electronic books., Nonfiction., History., Electronic book|History|In the summer of 1967, not long after the Six Day War, three young Palestinian men ventured into the town of Ramla in Israel. They were cousins, on a pilgrimage to see their childhood homes, from which they and their families had been driven out nearly twenty years earlier. One cousin had the door slammed in his face, one found that his old house had been converted into a school. But the third, Bashir, was met at the door by a young woman named Dalia, who invited him in...  This poignant encounter is the starting point for the story of two families -- one Arab, one Jewish -- which spans the fraught modern history of the region. In the lemon tree his father planted in the backyard of his childhood home, Bashir sees a symbol of occupation; Dalia, who arrived in 1948 as an infant with her family, as a fugitive from Bulgaria, sees hope for a people devastated by the Holocaust. Both are inevitably swept up in the fates of their people and the stories of their lives form a microcosm of...||||Missing Value|ebook - ebook|09/04/2008|2008-09-04|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781407036267?s=MD|http://books.google.com/books/content?id=tkjI_xIjFmEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9781400874491|9781400874491.0|1177 B.C.: The Year Civilization Collapsed|1177 b.c. : The Year Civilization Collapsed. Eric H Cline.||Cline, Eric H.|Cline, Eric H.||Nonfiction., History., Sociology., Electronic books.||In 1177 B.C., marauding groups known only as the Sea Peoples invaded Egypt. The pharaoh's army and navy managed to defeat them, but the victory so weakened Egypt that it soon slid into decline, as did most of the surrounding civilizations. After centuries of brilliance, the civilized world of the Bronze Age came to an abrupt and cataclysmic end. Kingdoms fell like dominoes over the course of just a few decades. No more Minoans or Mycenaeans. No more Trojans, Hittites, or Babylonians. The thriving economy and cultures of the late second millennium B.C., which had stretched from Greece to Egypt and Mesopotamia, suddenly ceased to exist, along with writing systems, technology, and monumental architecture. But the Sea Peoples alone could not have caused such widespread breakdown. How did it happen?In this major new account of the causes of this First Dark Ages, Eric Cline tells the gripping story of how the end was brought about by multiple interconnected failures, ranging from invasion and revolt to earthquakes, drought, and the cutting of international trade routes. Bringing to life the vibrant multicultural world of these great civilizations, he draws a sweeping panorama of the empires and globalized peoples of the Late Bronze Age and shows that it was their very interdependence that hastened their dramatic collapse and ushered in a dark age that lasted centuries.A compelling combination of narrative and the latest scholarship, 1177 B.C. sheds new light on the complex ties that gave rise to, and ultimately destroyed, the flourishing civilizations of the Late Bronze Age-and that set the stage for the emergence of classical Greece.||1 online resource||Missing Value|ebook - ebook|09/22/2015||https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781400874491?s=MD|
9781398503793|9781398503793.0|1999: Manchester United, The Treble And All That|1999 : Manchester united, the treble and all that. Matt Dickinson.|1999: Manchester United, the Treble and All That|Dickinson, Matt|Dickinson, Matt.|Matt Dickinson|Nonfiction., Biography & Autobiography., Sports & Recreations., Electronic books.|Sports & Recreation|In 1999, Manchester United completed a unique Treble, winning the Premier League, FA Cup and Champions League - but more remarkable than that was how they did it, and the stories behind the historic achievement. Matt Dickinson covered the whole story at the time, and now in 99 compelling chapters brings it all vividly to life.  When the season began, Manchester United were up for sale, the club's iconic talisman  Eric Cantona  had gone, rivals Arsenal were the reigning Double winners,  David Beckham  was a national hate figure after being sent off during the World Cup, and even manager  Alex Ferguson 's position was being questioned. Early signs weren't promising, despite record spending to bring in new stars, among them Jaap Stam and Dwight Yorke, but soon things began to change. Driven by the indomitable will of skipper  Roy Keane , supported by a nucleus from the Class of 92 -  Beckham, Nicky Butt, Ryan Giggs, the Nevilles and Paul Scholes  - who had grown up at the club, they went on a long unbeaten and unbeatable run, featuring some of the most dramatic games in fans' memories. Matt Dickinson highlights the key moments, speaking to those at the centre of the story and to those whose moment went unnoticed.  1999: Manchester United, the Treble and All That  is so much more than a book for United fans; it is an insight into team building, the will to success and a tale of local pride. It reveals the real stories behind the legend that was sealed with a last-minute scrambled goal from  Ole Gunnar Solskjaer  to win the Champions League.||1 online resource||796.3340942733|ebook - ebook|08/18/2022|2022-08-18|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781398503793?s=MD|http://books.google.com/books/content?id=T2lQEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
9781842439692|9781842439692.0|A Short History Of China|A short history of China : from ancient dynasties to economic powerhouse / Gordon Kerr.||Kerr, Gordon|Kerr, Gordon||Nonfiction., History., China History., Electronic books.||The turbulent and chequered past of the world's most populous country is one of the most fascinating in world history, and relatively little known in the West. From the beginnings of Chinese prehistory right through to internet censorship with the 'Great Firewall of China', Gordon Kerr offers a comprehensive introduction to the sprawling history of this enormous country. A Short History of China provides an absorbing introduction to more than 4,000 years of Chinese history, telling the stories of the tyrants, despots, femmes fatales, artists, warriors and philosophers who have shaped this fascinating and complex nation. It describes the amazing technological advances that her scientists and inventors made many hundreds of years before similar discoveries in Europe. It also investigates the Chinese view of the world and examines the movements, aspirations and philosophies that moulded it and, in so doing, created the Chinese nation. Finally, the book examines the dramatic changes of the last few decades and the emergence of China as an economic and industrial 21st century superpower, making Napoleon Bonaparte's words about her ring true: Let China sleep, for when she awakes, she will shake the world.||1 online resource||951|ebook - ebook|01/25/2013||https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781842439692?s=MD|
9781633411463|9781633411463.0|Big Book Of Numerology: The Hidden Meaning Of Numbers And Letters|Big book of numerology : The hidden meaning of numbers and letters. Shirley Blackwell Lawrence.|The Big Book of Numerology|Lawrence, Shirley Blackwell|Lawrence, Shirley Blackwell.|Shirley Blackwell Lawrence|Nonfiction., New Age., Electronic books.|Body, Mind & Spirit|||1 online resource||133.335|ebook - ebook|08/01/2019|2019-08-01|https://eservice.nlb.gov.sg/bookcoverwrapper/cover/9781633411463?s=MD|http://books.google.com/books/content?id=-vlwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
